Token,Cantidad de documentos que lo contienen,Posicion del primer registro en posting
"""badged""",1,372
"""bajnoki",1,373
"""balance",1,374
"""balancing",1,375
"""balesetbol""",1,376
"""balgasagig",1,377
"""balogh",1,378
"""balosokkal"".",1,379
"""ban""",1,380
"""bankkonszolidáció""",1,381
"""bankvilag""",1,382
"""bantunegereknek""",1,383
"""barankovics-part""",1,384
"""barn",2,385
"""basically",1,387
"""batoritja""?",1,388
"""batoritjak""",1,389
"""batoritjak""?",1,390
"""bbb",1,391
"""be",2,392
"""bebop""",1,394
"""because",1,395
"""becket""",1,396
"""beckett"",",1,397
"""becoming",1,398
"""befektetoi""",1,399
"""befektetoi"",",1,400
"""before",1,401
"""behozhatatlan"",",1,402
"""beinteni""",1,403
"""beinteni"".",1,404
"""beintett"".",1,405
"""bejott"",",1,406
"""bekeakciojanak""",1,407
"""bekes",1,408
"""bela""",1,409
"""belathatatlan""",1,410
"""bele",1,411
"""belepodij""-ba",1,412
"""belso""",1,413
"""belulrol",1,414
"""benefit",1,415
"""benefits",1,416
"""benyomas""",1,417
"""benyomast""",1,418
"""beowulf""",2,419
"""beowulf,""",1,421
"""beruhazok""",1,422
"""best",1,423
"""bestseller""-re",1,424
"""beszedeben""",1,425
"""beszeljuk",1,426
"""betart""",1,427
"""betartjak"".",1,428
"""betartjak""..",1,429
"""beteg""",1,430
"""betelt",2,431
"""betrayed",1,433
"""betweenness""",1,434
"""bevallasban"".",1,435
"""bevetesevel""",1,436
"""beyond",2,437
"""bezzeg",1,439
"""bhagavad",1,440
"""billy",2,441
"""binding",1,443
"""birches"",",1,444
"""birth",1,445
"""bizalomra""",1,446
"""bizonyos",1,447
"""biztak",1,448
"""biztonsagi""",1,449
"""biztonsági""",1,450
"""black",3,451
"""blacklist""",1,454
"""blacks",1,455
"""bocones"",",1,456
"""bogatyaban""",1,457
"""bokros",1,458
"""bokros-tancot"":",1,459
"""book""",1,460
"""bookes",1,461
"""boritekolt",1,462
"""boritekolt""",1,463
"""boss""",1,464
"""boszniai",1,465
"""bottoms",1,466
"""bought""",1,467
"""bovitik""",1,468
"""brazen",1,469
"""brown",1,470
"""budos,",1,471
"""building",1,472
"""bukott""",1,473
"""bulizas""",1,474
"""bulvarizu""",1,475
"""burdens",1,476
"""burning.""",1,477
"""burokban",1,478
"""burundi-programot"",",1,479
"""burundizasa""",1,480
"""business",1,481
"""business-kirandulasok""",1,482
"""but",2,483
"""buy""",1,485
"""by",1,486
"""büdösmagyar""",1,487
"""c"";",1,488
"""call",2,489
"""call"",",1,491
"""called",1,492
"""calm""",1,493
"""can",2,494
"""candidate",1,496
"""capable",1,497
"""capital"",",1,498
"""caring",1,499
"""carnage,""",1,500
"""carte-blanche""",1,501
"""cash""",1,502
"""catch-all""",1,503
"""catcher",1,504
"""causes",1,505
"""central",2,506
"""cenzurazott""",1,508
"""ceremony""",1,509
"""certificación",1,510
"""cgi",1,511
"""change",1,512
"""channels""",1,513
"""chase"").",1,514
"""chats""",1,515
"""chicago",1,516
"""chicagoi",1,517
"""child",1,518
"""child-parent""",1,519
"""chunking"",",1,520
"""circle""",1,521
"""citizens'",1,522
"""civil""kepviseloi,",1,523
"""civilization"",",1,524
"""classical""",1,525
"""clean",2,526
"""clear",1,528
"""clearly",1,529
"""close""",1,530
"""cm""",1,531
"""coalition",2,532
"""colonel",1,534
"""coming",1,535
"""commercial",1,536
"""commercial""",1,537
"""communication",1,538
"""comparative",1,539
"""compelling""",1,540
"""competent",1,541
"""completely",1,542
"""confessions""",1,543
"""confidential"",",1,544
"""confidential""dear",1,545
"""confusion",1,546
"""conservative",1,547
"""consider",1,548
"""considered,""",1,549
"""constructive",1,550
"""consultations""",1,551
"""content",1,552
"""continue",2,553
"""contradicts",1,555
"""contrary",1,556
"""cool",1,557
"""cooperative",1,558
"""coordinated,""",1,559
"""coriolanus""/dickinson",1,560
"""cosmic""",1,561
"""could",2,562
"""county""",5,564
"""court",1,569
"""covered",3,570
"""cpj’s",1,573
"""crack"",",1,574
"""crazy",1,575
"""creation""",1,576
"""crecimiento",1,577
"""credit",1,578
"""criminal",1,579
"""criminalconnections",1,580
"""crisis",1,581
"""criteria""",1,582
"""critique",1,583
"""crito"",,",1,584
"""crossing",1,585
"""crytodiplomacy""",1,586
"""csak",3,587
"""csak""",4,590
"""csak""megelhetesi",1,594
"""csak'""",1,595
"""csaladparti""]tegnap",1,596
"""csalodott""",1,597
"""csatavesztesenek"",",1,598
"""csehszlovak""",1,599
"""csendes",1,600
"""csodagyogyszer""",1,601
"""csupan""",2,602
"""cultural",1,604
"""culture",1,605
"""currently",1,606
"""currently,",1,607
"""custodian",1,608
"""cut-off""",1,609
"""cybercast""",1,610
"""cycle",1,611
"""damage",2,612
"""dangerous""",1,614
"""dangerously",1,615
"""dangling",2,616
"""darizta""",1,618
"""darkness""",1,619
"""david",3,620
"""de",1,623
"""de""",1,624
"""dear",1,625
"""death",3,626
"""decentralization",1,629
"""decentralize",1,630
"""defenses""",1,631
"""defensive""",1,632
"""deklaraltan",1,633
"""deleuropai-balkani""",1,634
"""deliberative",1,635
"""delvideki",1,636
"""democracy",1,637
"""democratization""",1,638
"""demokracia""",3,639
"""demokrata""",2,642
"""demokratikus""",1,644
"""demokratikuskent""",1,645
"""demokratizmus""",1,646
"""demokratrizmusát"",",1,647
"""der",1,648
"""desert",1,649
"""desire",1,650
"""despite",1,651
"""destrualo",1,652
"""deterring",1,653
"""deutsche",1,654
"""developed",1,655
"""dial-a-porn""",1,656
"""dialogue"",",1,657
"""dictates",1,658
"""did",2,659
"""difficult,",1,661
"""dijazna""",1,662
"""dijaztak"",",1,663
"""dinamikus",1,664
"""diplomata""-kikepzesi",1,665
"""diplomatája"",",1,666
"""directly",1,667
"""disassembly",1,668
"""discourses"":",1,669
"""dishonorable""",1,670
"""dislike",1,671
"""display""",1,672
"""disseminated",1,673
"""dissemination",1,674
"""distanced",1,675
"""divide",1,676
"""divine",2,677
"""dniester",1,679
"""do",2,680
"""doctors",1,682
"""does",1,683
"""dogkeselyu""szelid,",1,684
"""dogkeselyuk"".",1,685
"""dogoljetek",1,686
"""dolgok"",hanem",1,687
"""don",2,688
"""dor-zsolt",1,690
"""dover",1,691
"""down"",",1,692
"""dream",1,693
"""dreamed""",1,694
"""dritten",1,695
"""dry",1,696
"""dubliners""",1,697
"""dubliners'",1,698
"""due",1,699
"""during",1,700
"""durvasaga""",1,701
"""earnest""",1,702
"""ebersege""",1,703
"""ebredj",1,704
"""economic",1,705
"""economy"".",1,706
"""educational",1,707
"""eesop"")",1,708
"""effect",1,709
"""effects",1,710
"""efforts",1,711
"""egy",3,712
"""egyebkent",1,715
"""egyedul",1,716
"""egyenileg""",1,717
"""egyenkent",1,718
"""egyenrangu"".",1,719
"""egyetertek!""",1,720
"""egyetlen",1,721
"""egyfiatal",1,722
"""egyik",1,723
"""egymasirant",1,724
"""egyoldalu",1,725
"""egyseg""",1,726
"""egyuttmukodes"",",1,727
"""egyuttmukodest""eroltetni!]",1,728
"""egyuttmukodtunk"",",1,729
"""el",1,730
"""eladni""",2,731
"""elbizonytalanodott""",1,733
"""elder",1,734
"""eleanor",2,735
"""electronikus""",1,737
"""elege",1,738
"""elejet",1,739
"""elemekre""",1,740
"""elements",1,741
"""elenchus""",1,742
"""elerhetetlenne""",1,743
"""elerheto""][kleptokratak",1,744
"""elerni"",",1,745
"""elet-halal",1,746
"""eletkepek""",1,747
"""elfelejti""",1,748
"""elfogadasaval""",1,749
"""elfogadhatatlannak""",1,750
"""elfogadhatatlanok""",1,751
"""elit""",1,752
"""elit""megdontesere]az",1,753
"""elite""",1,754
"""elitelik"",",1,755
"""eljarna",1,756
"""eljott",1,757
"""elkell",1,758
"""elkepzelhetetlen""",1,759
"""elkesett",1,760
"""elkezdtek",1,761
"""ellenerteket""",1,762
"""ellenorzesi",1,763
"""ellenorzovizsgalatoknak",1,764
"""ellenseg""",1,765
"""ellenzek""",1,766
"""elmondta""][mondja",1,767
"""elnek""",1,768
"""elnemitott""",1,769
"""eloadas",1,770
"""elolvadasa"".1989-ben",1,771
"""elolvadt""",1,772
"""elony""",1,773
"""elonyos",1,774
"""elore",1,775
"""elorevetiti""?",1,776
"""elosegitik""",1,777
"""elpolitizalasa""az,",1,778
"""elso",1,779
"""elsopriamerikat""",1,780
"""eltuntetodik"",akkor",1,781
"""emergency",1,782
"""emigráns",1,783
"""en",4,784
"""encourage",1,788
"""encroached",1,789
"""end",1,790
"""endangeringpublic",1,791
"""energy",1,792
"""engaged""",1,793
"""engaging",1,794
"""engedményeket""",1,795
"""engineers""",1,796
"""enlightented",1,797
"""ennek",1,798
"""enthusiasts""",1,799
"""eredeti"".",1,800
"""eredmenyezte"".a",1,801
"""erelyes",1,802
"""erkolcsi",1,803
"""erkolcstelenseget""]""financial",1,804
"""erobol""",1,805
"""errand",1,806
"""erted",1,807
"""ertelmez""",1,808
"""ertelmez"".",1,809
"""ertelmisegi""",1,810
"""erthetetlen""",1,811
"""erzelmi",1,812
"""es",2,813
"""esetleges",1,815
"""essential",1,816
"""essential""",1,817
"""esterhazy",1,818
"""eszme-felsõrész-készítõk""",1,819
"""ethnic",1,820
"""etnikai",1,821
"""etnikai""",1,822
"""europa-kozpontu",1,823
"""europaba""!...",1,824
"""ev-szazad",1,825
"""even",1,826
"""evening",1,827
"""everything",1,828
"""evolution""",1,829
"""evrol",1,830
"""evszazad",2,831
"""ex-urbok""",1,833
"""exaggerated""",1,834
"""examines",1,835
"""exceptional",1,836
"""executive",1,837
"""executive""-",1,838
"""expects",1,839
"""exploración",1,840
"""expressed",1,841
"""extra""",1,842
"""extra-",1,843
"""extraordinary",1,844
"""extremely",1,845
"""ez",1,846
"""ezek",1,847
"""ezen",2,848
"""ezuttal",1,850
"""ezzel",1,851
"""fabricated",1,852
"""faggato""",1,853
"""fairly",1,854
"""fajgyulolet""",1,855
"""fajgyulolettel""",1,856
"""faji",2,857
"""faji,",1,859
"""false""",1,860
"""family",3,861
"""family""",1,864
"""fantasie",1,865
"""farewell",1,866
"""fasisztaveszely""",1,867
"""fasisztazashoz,",1,868
"""fast",1,869
"""father",1,870
"""fe'lig""-rol]lovas",1,871
"""fear",2,872
"""feedback""",1,874
"""fegyvere""",1,875
"""feher""",1,876
"""fejetol",2,877
"""fejlesztese""",1,879
"""fejlesztettem"".",1,880
"""fejlesztik""",1,881
"""fejlett",1,882
"""fekete",1,883
"""feketelistarol"".[4,2",1,884
"""fel,",1,885
"""feladták""",1,886
"""felajanlas""].",1,887
"""felajanlasokra""?",1,888
"""felejtette""",1,889
"""felelose",1,890
"""felelotlen",1,891
"""felesben",1,892
"""felfuggesztette""",1,893
"""felkel",1,894
"""felkeltette",1,895
"""felmerese""",1,896
"""felminosit""",1,897
"""feloszto-kirovo,",1,898
"""felszabaditasara"",",1,899
"""felszamlazas"",",1,900
"""feluletes",1,901
"""felulrol""erkezo",1,902
"""felvenni",1,903
"""felvette""",1,904
"""felvettek""",1,905
"""felzabalja""utodait:",1,906
"""felzsidozik""[az",1,907
"""felzsidozott"".",1,908
"""fenntartast",1,909
"""fenti",1,910
"""fenyegetes""",1,911
"""fenyegeto",1,912
"""fenyes",1,913
"""fergeknek",1,914
"""fiberglass:",1,915
"""fica""",1,916
"""ficsor",1,917
"""fictitious,""",1,918
"""filing",1,919
"""film",1,920
"""filtration",1,921
"""filtration""",1,922
"""first",2,923
"""first,",1,925
"""five",1,926
"""flesh""",1,927
"""fogadja",1,928
"""foldre",1,929
"""folyamat""",1,930
"""folyamatok""",1,931
"""folyamok""",1,932
"""fontosabb",1,933
"""foot",1,934
"""for",10,935
"""fordulatevenek""",1,945
"""forgatós""",1,946
"""form""",1,947
"""forms""",1,948
"""found",1,949
"""fragging""",1,950
"""frakciopartot""",1,951
"""framework",1,952
"""frankenstein""",1,953
"""free",1,954
"""free,",1,955
"""freedom",2,956
"""freeze-out"".",1,958
"""friendliness""",1,959
"""friendly""",1,960
"""frozen""",1,961
"""fuggetlen",2,962
"""fuggetlen""",2,964
"""fulfilled",1,966
"""full",1,967
"""fullrespect",1,968
"""fully",1,969
"""fundamentally",1,970
"""funyiroelven""",1,971
"""fureszelni""torgyant.",1,972
"""furthering",1,973
"""fusion""",1,974
"""futamido""",1,975
"""futottak",1,976
"""future",1,977
"""futyulost""",1,978
"""fából",1,979
"""game",1,980
"""garantaljak"".",1,981
"""garaudy",1,982
"""gazdasag""",1,983
"""gazdasagi",1,984
"""gazdijanak""",1,985
"""gazt""",1,986
"""gemeinde-arbeitsdienst""",1,987
"""general""",1,988
"""generation",2,989
"""gergely,",1,991
"""gerontion""",1,992
"""ghosts""",1,993
"""give",1,994
"""giving",1,995
"""glasnost"".",1,996
"""glatz",1,997
"""global",1,998
"""glossary""",1,999
"""go",1,1000
"""goes",1,1001
"""going",1,1002
"""golden",1,1003
"""gondozni""",1,1004
"""gone",1,1005
"""good",4,1006
"""good""",1,1010
"""government",2,1011
"""governments",1,1013
"""grand",1,1014
"""gratulálok,",1,1015
"""great",5,1016
"""greater",1,1021
"""green",1,1022
"""greenhouse",1,1023
"""gubanc""",1,1024
"""gyalázkodás""",1,1025
"""gyanusitgatas",1,1026
"""gyerekek,",1,1027
"""gyozott",1,1028
"""gyuleletkeltesnek""",1,1029
"""gyulolet",1,1030
"""gyuloletkeltes""",1,1031
"""gyuloletkeltesert""]",1,1032
"""gyuloletkeltesre",1,1033
"""gyulolettorveny""",1,1034
"""gyulolettorvenye""",1,1035
"""gyumolcse""",1,1036
"""gyûlölet",1,1037
"""gõzerõvel",1,1038
"""h""",1,1039
"""h""-val.",1,1040
"""ha",12,1041
"""hajnal""-t",1,1053
"""haladektalanul""?",1,1054
"""halalra"",",1,1055
"""halalt",1,1056
"""hallgattassekmeg",1,1057
"""hallhato"".",1,1058
"""happy",1,1059
"""haracsolok""",1,1060
"""hard",1,1061
"""harmadik",1,1062
"""harmful",1,1063
"""harommillio",1,1064
"""haromszogesitese""",1,1065
"""has",1,1066
"""hat,",1,1067
"""hatalomatvetelt""",1,1068
"""hatarozottan",1,1069
"""hatekony",1,1070
"""hatszelevel"",",1,1071
"""hauptkriegsverbrecher""",1,1072
"""have",3,1073
"""hawaii",1,1076
"""haz""-zal",1,1077
"""hazafiak""-",1,1078
"""hazai",1,1079
"""hazasitas""",1,1080
"""hazban""",1,1081
"""hazorzo",1,1082
"""hazudtam""",1,1083
"""he",1,1084
"""health",1,1085
"""hecclovagnak""",1,1086
"""helden""",1,1087
"""hello",1,1088
"""helpless",1,1089
"""helyere",1,1090
"""helyes""",1,1091
"""helyre",1,1092
"""helyreallt",1,1093
"""hemingway",1,1094
"""hero""",1,1095
"""het",1,1096
"""hibat",1,1097
"""high-performance",1,1098
"""highly",1,1099
"""hip",1,1100
"""hippolytus",1,1101
"""hippolytus""",1,1102
"""hirben""?]a",1,1103
"""hirt""",1,1104
"""hirtelen",1,1105
"""his",1,1106
"""history",1,1107
"""hitlerezessel""",1,1108
"""hitlerezni""",1,1109
"""hivatalba""-",1,1110
"""hivatalos",1,1111
"""hivatalos""",1,1112
"""hivatalos""sajtokozlemenyek",1,1113
"""hivatalukban""?",1,1114
"""hivatkozasi",1,1115
"""hogy",1,1116
"""hogyan",2,1117
"""hogyanlehetseges,",1,1119
"""holdudvarahoz",1,1120
"""holocaust",1,1121
"""holocaust""-ot",1,1122
"""holocaust-denial""",1,1123
"""holocaust-revizionista"",",1,1124
"""holocaust-tagado""",1,1125
"""home""",1,1126
"""homologate""",1,1127
"""homologated""",1,1128
"""homologation",1,1129
"""homologation""",1,1130
"""honszeretet""",1,1131
"""horn",2,1132
"""hornnak",2,1134
"""hos"",",1,1136
"""hoscsinalas""",1,1137
"""hosszu",3,1138
"""however,",1,1141
"""hoznak",1,1142
"""hozzajarulasat""",1,1143
"""huckleberry",1,1144
"""hundreds",1,1145
"""hungarian",4,1146
"""hungarus""",1,1150
"""hunnia""",1,1151
"""hurra",1,1152
"""huzattal""együtt,",1,1153
"""hypothetical",1,1154
"""hysteria""",1,1155
"""három",1,1156
"""i",17,1157
"""i-thou/i-it""",1,1174
"""ia",1,1175
"""ideal",1,1176
"""ideal""",1,1177
"""ideas""",1,1178
"""ideiglenes",1,1179
"""identitastudat""",1,1180
"""identity"".",1,1181
"""ideology""",1,1182
"""if",5,1183
"""igazabb""",1,1188
"""igaztalan",1,1189
"""igen",2,1190
"""igerhette"",",1,1192
"""igy",1,1193
"""ikarus""-nak",1,1194
"""illegal",1,1195
"""ilyen",1,1196
"""imidzs""",1,1197
"""immediately",1,1198
"""impossible""",1,1199
"""imprisonment",1,1200
"""in",12,1201
"""in""",1,1213
"""in"",",1,1214
"""inability",2,1215
"""inadmissible""",1,1217
"""incite",1,1218
"""indecency",1,1219
"""indecent""",1,1220
"""indecent,""",1,1221
"""indian",1,1222
"""indians""",1,1223
"""indigent""",1,1224
"""individuals",1,1225
"""industry",1,1226
"""industry"".",1,1227
"""ineffective",1,1228
"""inexpedient""",1,1229
"""informacios",1,1230
"""informational",1,1231
"""ingyenes""",1,1232
"""insider",1,1233
"""inssjp"",",1,1234
"""installing",1,1235
"""instrument",1,1236
"""insulting",1,1237
"""integracio""]az",1,1238
"""integrated",1,1239
"""intellectual",1,1240
"""intelligence",1,1241
"""intelligence""",1,1242
"""interest""",1,1243
"""interim",1,1244
"""intermediate",1,1245
"""internacionalizmus"",",1,1246
"""internal",1,1247
"""international",2,1248
"""internet",3,1250
"""interpretation""",1,1253
"""intezkedesek""",1,1254
"""introducing",1,1255
"""intuition""",1,1256
"""intuitive",1,1257
"""intézménye""?tán",1,1258
"""investment",1,1259
"""invisible",1,1260
"""inviting",1,1261
"""involuntary",1,1262
"""irodalomnak"",",1,1263
"""irok""",1,1264
"""ironikus",1,1265
"""irreconciliables""",1,1266
"""irritate",1,1267
"""iró""",1,1268
"""is",4,1269
"""is""",1,1273
"""islam"",",1,1274
"""isten",2,1275
"""istvan""",1,1277
"""it",7,1278
"""it's",4,1285
"""italian",1,1289
"""itt",2,1290
"""it’s",1,1292
"""ivy",1,1293
"""izelitoul"",",1,1294
"""izgatasnak""",1,1295
"""izgatás""",1,1296
"""izmus"",",1,1297
"""j'accuse""",1,1298
"""ja,",1,1299
"""jatssza",1,1300
"""jatszana""",1,1301
"""jatszani"".",1,1302
"""javaslata",1,1303
"""javasolhatna""",1,1304
"""javit-e",1,1305
"""jazz",1,1306
"""jazz"",",1,1307
"""jazz,""",1,1308
"""jean",2,1309
"""jegelese""",1,1311
"""jelenkor""",1,1312
"""jelenletukkel""",1,1313
"""jelentos""",1,1314
"""jelentos""?]4.",1,1315
"""jeszenszky",1,1316
"""jittery""",1,1317
"""jo",3,1318
"""jo,",1,1321
"""job",1,1322
"""jobb",1,1323
"""jobbrafordulasa""maris",1,1324
"""jogallam""",1,1325
"""joghezagok""",1,1326
"""jogrendszereik",1,1327
"""jogállami",1,1328
"""jol",1,1329
"""joleti",1,1330
"""jonnek",2,1331
"""joval",1,1333
"""judaism",1,1334
"""judeonacizmus""",1,1335
"""julius",1,1336
"""juridical",1,1337
"""just",1,1338
"""juttattak""",1,1339
"""kaddish""",1,1340
"""kakukktojasok""",1,1341
"""kamionblokadot""!]hetfon",1,1342
"""kapcsolodo",1,1343
"""kapisztran",1,1344
"""kapitulalt",1,1345
"""kapja",1,1346
"""kapjak"",",1,1347
"""karmentesben""",1,1348
"""karos",1,1349
"""karosodas""",1,1350
"""karpatalja",1,1351
"""karpotlasi",1,1352
"""karrierdiplomata""",1,1353
"""karrierdiplomatakat""",1,1354
"""katasztrofa""",1,1355
"""katonai",1,1356
"""kebelezi",1,1357
"""kedvelem",1,1358
"""kedvezo",1,1359
"""kedvezo""",1,1360
"""kedvezobbek"".]",1,1361
"""keleti""",1,1362
"""keletnemetek""",1,1363
"""kellemetlensegeit"",",1,1364
"""kellene""kapni",1,1365
"""kemeny",1,1366
"""kepviselo",1,1367
"""kerdezettek""!!!!]",1,1368
"""kerdoivet""",1,1369
"""kereskedelmiminiszter""",1,1370
"""kereskedelmiminiszterium""",1,1371
"""keresnie",1,1372
"""kereszteny",1,1373
"""keresztszulokent"",",1,1374
"""kesei",1,1375
"""ket",1,1376
"""ketsegbeejto",1,1377
"""ketteszakad",1,1378
"""kettospolitikat""",1,1379
"""key",1,1380
"""key""",1,1381
"""kezi",1,1382
"""ki",5,1383
"""kiabrandult",1,1388
"""kicsit",1,1389
"""kicsuszott""",1,1390
"""kid-safe""",1,1391
"""kiemelkedõ",1,1392
"""kiemelt",1,1393
"""kiesett",1,1394
"""kikapaszkodni",1,1395
"""kikerik",1,1396
"""kikuldott""",1,1397
"""kinevezés""",1,1398
"""kinevezéssel"",",1,1399
"""king",1,1400
"""kinlodnak,",1,1401
"""kipukkasztanihorn",1,1402
"""kirakatrendezest",1,1403
"""kirandulason""",1,1404
"""kisebbsegekuralmat""",1,1405
"""kismonarchi���k""",1,1406
"""kiszolgaltatotta",1,1407
"""kitartas,",1,1408
"""kiteljesedesenek""",1,1409
"""kitermelt""",1,1410
"""kiurul"".",1,1411
"""kivanatossag""",1,1412
"""kiválasztások""",1,1413
"""klasszikus",1,1414
"""kleptokracia"",",1,1415
"""kleptokrata",1,1416
"""kleptokratak",1,1417
"""knowingly",1,1418
"""kohl",1,1419
"""kolcsey",1,1420
"""kolcsonos",1,1421
"""kolcsonosen",1,1422
"""kollektiv",1,1423
"""koltemenyeben""",1,1424
"""koltsel",1,1425
"""kommunista",1,1426
"""kommunistakent",1,1427
"""komoly",1,1428
"""komolytalan",1,1429
"""kompromisszumkeszen"".",1,1430
"""koncepció""",1,1431
"""konrad",1,1432
"""konspiraciosteoriat""",1,1433
"""konyvtar-labtorlo""",1,1434
"""konzervativ""",1,1435
"""konzultaciok""",1,1436
"""konzultaltunk"",",1,1437
"""korea",1,1438
"""kormany""",3,1439
"""kormany""-nak",2,1442
"""kormanybucsaztato""",1,1444
"""kormanybucsuztato",1,1445
"""kormanybuktatonak""",1,1446
"""kormanyulese"":",1,1447
"""kormanyzat"",",1,1448
"""kormány""",1,1449
"""kornyezetszennyezo""",1,1450
"""korridort""",1,1451
"""kortars""-tol",1,1452
"""koszos",1,1453
"""kovamoszatokra"".",1,1454
"""kozep-utassagot""",1,1455
"""kozepen",1,1456
"""kozepen""",1,1457
